RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.30178271236372733,50,0,0.31979577496025985,2318,5,0,0,0,0,1
0.15090713025413835,57,0,0.5767084076819143,28734,9,0,1,0,0,0
0.33895746986867126,48,0,0.6510705891002796,1965,6,1,0,0,0,1
0.2598675863157169,23,1,0.15722607018223855,4899,11,0,1,0,0,0
0.5138459282231973,51,0,0.31601881979897595,1636,7,0,0,0,2,0
0.16722311395907527,29,1,0.398682232104868,1764,4,0,2,2,0,0
0.4404382901564719,35,0,0.5967968487192274,1324,9,0,1,2,1,0
0.40367920392272183,53,0,0.2506195287604173,6869,7,0,1,1,2,0
0.5029390172800192,20,0,0.5760377024917801,6560,5,0,0,1,0,0
0.39294217361628864,53,3,0.5662084831292374,1897,7,0,1,0,0,1
0.11359959482118195,28,0,0.7101107536085112,2707,10,0,0,0,0,0
0.16465928992156925,44,0,0.18220902191626348,6652,8,1,0,0,1,0
0.17275327209232674,55,2,0.1622737700168758,2348,6,0,1,0,1,1
0.682693635164538,44,0,0.21758872982791638,5098,10,0,0,0,2,0
0.24978688016983308,43,1,0.4341193309680952,5999,13,0,2,0,1,0
0.17523611764838112,53,1,0.16931736218241306,2170,9,0,0,0,0,0
0.3358866737395901,64,0,0.5419425167447535,7090,6,0,1,1,1,0
0.26348524923097927,65,0,0.3122936280967232,13637,8,0,1,1,1,0
0.19376495260095922,53,0,0.3830936929688373,8957,6,0,2,0,1,0
0.3561663357882936,77,0,0.07979294744238609,4138,9,1,3,1,0,0
0.23666497744331663,26,0,0.38885880563780195,5518,9,0,2,0,3,0
0.1259893289220203,41,1,0.6574796238864844,6530,9,0,1,0,1,1
0.1718176468958728,38,1,0.6066782151917305,3117,14,0,0,1,0,0
0.48276664533786495,46,2,0.5020999200385005,1078,9,1,1,0,2,0
0.10187407432605364,67,1,0.6552832846100985,14717,9,1,1,0,2,0
0.17211632504293808,31,0,0.44734599808776004,2719,3,0,0,0,0,1
0.2270345064737577,55,1,0.6536731997437056,25423,9,0,0,0,0,1
0.1933974296207662,36,3,0.07927856284103055,5626,5,0,0,0,1,0
