SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
0,0,Cash loans,M,Y,Y,1,5420,23468,4296,38311,Unaccompanied,Unemployed,Secondary / secondary special,Single / not married,With parents,0.06502772824465843,-12635,-3905,-591,-411,7.5747620182544475,0,1,1,1,1,0,2,3,1,TUESDAY,12,0.5799224996377416,0.15453392048087186,0.8017625121000117,0.4884979619494579,0.060074136762850026,0.271427853970017,0.18508692268742113,0.00847668504333814,0.09460232388234793,0.14131869513303863,0.20108260730440722,0.47115587648230733,0.43420013453475415,0.14382334448136574,0.5212307553534472,0.41463692671996966,0.08510845113152372,0.3638478854578295,0.2617290334783663,0.27531554299985717,0.45853805375755174,0.28872643770542883,0.2795981664955926,0.30009015655176735,0.2482056040528974,0.2541476203161319,0.12590697398000367,0.035858684591895854,0.1417489950641154,0.40063042780713487,0.3255195818446096,0.35331906770426147,0.20838004161008597,0.5154180785241471,0.34639639737109096,0.455188419362991,0.08450642770663894,0.090198773991942,0.08800584770020423,0.16767985848894093,0.43467818140192066,0.03559193835773204,0.3068221525467583,0.12374040710195351,0.06653201352907635,0.26179653040569595,2,0,3,0,-151,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,10,16
1,0,Revolving loans,F,N,N,0,4279,35026,4930,4425,Family,Working,Secondary / secondary special,Married,Co-op apartment,0.6130790053008248,-12402,-6131,-642,-376,0.2749177107144635,1,1,1,0,1,0,4,3,1,FRIDAY,19,0.7746841553168032,0.37417448863600106,0.40718536371287284,0.08592624438060474,0.19112969230597723,0.292540492294405,0.34812334529184824,0.12458542288493722,0.3628362838599307,0.21504776687722818,0.20864256713620097,0.20380367556868664,0.18870955123474537,0.24714887267871724,0.6076610439188467,0.5353357062363001,0.17572322379719796,0.3689906073388071,0.34338706877806796,0.30902906745922487,0.41856022510402313,0.36667663598607997,0.32519699166141863,0.26406984313764487,0.42021353750177526,0.14045203098949033,0.5487812242339958,0.2768990034016337,0.4499306816042684,0.26574705167729046,0.28133884097531814,0.4870082282059632,0.2882848877112075,0.15683270027386223,0.22718770689092663,0.11339019473978666,0.06476762550323585,0.2865082076208189,0.4046086416344903,0.22320730103573724,0.6087251603019175,0.420572188287721,0.38290828597416443,0.389881396150116,0.3083230505890483,0.28349544141072214,1,0,1,1,-12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,14,18
2,0,Cash loans,F,N,Y,2,5756,25292,1659,12232,Unaccompanied,Working,Lower secondary,Married,With parents,0.2473761136530005,-13892,-2468,-362,-442,0.9837155356622241,1,1,1,1,1,0,2,2,2,THURSDAY,11,0.558600110254354,0.6107531532260042,0.2958042960064129,0.07970079356501168,0.18739238785915271,0.20341486195712077,0.1290968347263962,0.3320797382590193,0.3072445858088787,0.21812995578112582,0.47601809069084433,0.12747599414841304,0.1293485002445987,0.13321803483865824,0.31093911857221734,0.29130260819405657,0.3393442835239886,0.09032163691158286,0.16999054103218064,0.07384765789701049,0.536913945091208,0.22553277427918664,0.45791689459843954,0.12335977314139694,0.6328544698870654,0.3469407712716709,0.2967115108727165,0.2450649032238914,0.08557052852927678,0.2144250840190919,0.03971273650488526,0.363218119060624,0.3351725211314249,0.20997554062413737,0.37871875222852025,0.5997906905053869,0.056819486885637746,0.6012479932352087,0.14024092582108427,0.21095611651578672,0.12555322916064401,0.15534037513404367,0.20900004291695212,0.13632710042800103,0.31216819191541,0.4028597951048572,4,0,3,1,-611,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,16,19
3,1,Cash loans,F,Y,Y,1,3103,39140,3847,8631,Family,State servant,Higher education,Single / not married,Rented apartment,0.3056227812358045,-17642,-480,-2516,-971,3.859971724531235,1,1,1,1,1,0,6,2,1,SUNDAY,18,0.383394556030524,0.1931916050416606,0.4334062744370905,0.14321178117351602,0.2818285942939015,0.2835094612044923,0.33053487813875704,0.26972312430842443,0.32556121643591146,0.22145812928847797,0.23543492527430934,0.2966778199165422,0.18399998830527464,0.46805657894070957,0.08609205888392449,0.15025305527321947,0.07532871374469818,0.20283767045425258,0.36269545801511166,0.2509381684104133,0.2756469841299409,0.10786921649148222,0.2258114727100778,0.1141991693206865,0.30774707907014587,0.42646571710329084,0.21978087732400078,0.4142553931284421,0.24944718699006344,0.13718927589046728,0.15739823333352335,0.17568551028635054,0.5793611651224503,0.11339997595051937,0.1311383452578872,0.2724553141732704,0.2941996506917486,0.1704856197133923,0.2970317451210996,0.03024514458050544,0.11550442307256176,0.43999907714477066,0.49005705559727375,0.38982507497839025,0.5472342509465479,0.08647697365718078,3,1,1,2,-83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,2,4,14
4,0,Cash loans,M,N,Y,2,16813,22558,4118,17286,"Spouse, partner",Pensioner,Secondary / secondary special,Married,House / apartment,0.07270032351014835,-12081,-7245,-1188,-443,2.136106670672565,1,1,1,1,0,0,1,2,2,THURSDAY,7,0.5614504426745847,0.6140183545692738,0.2883399670090417,0.343870335105859,0.17315381394679316,0.33479667134372765,0.20886080815470282,0.3054698032210786,0.49884260456429397,0.14320145852962265,0.49105369103997637,0.11036753147522911,0.35958012336635686,0.2807982473171772,0.39208125285215106,0.5267853469763593,0.13394312049704285,0.5648543839471388,0.46750100520639865,0.009865391864150442,0.17310730240787817,0.31721554586286493,0.2197153649041463,0.17926315549272898,0.48838104748229466,0.08281726610571236,0.048091476262377406,0.18090186008392198,0.46101493011564615,0.2428533580263246,0.04681281091988847,0.30202849437164886,0.3279575512243697,0.2810391374361551,0.18076394166212656,0.5204816047223664,0.10317835356324824,0.4706280625160278,0.2628349011525424,0.2571800712947543,0.17602875447545233,0.3486694010385255,0.16322780500610126,0.3361959240687835,0.19068286486679,0.10420557094127413,1,0,0,2,-366,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,4,7,27
5,0,Cash loans,M,Y,N,0,9286,15695,4138,14006,Family,Working,Incomplete higher,Married,House / apartment,0.1110156169524912,-11150,-1292,-684,-834,4.659684334830677,1,0,1,1,1,0,1,2,3,WEDNESDAY,0,0.28478462342585387,0.5656592706769871,0.6881854007528904,0.41164381926473415,0.14399819880003162,0.284110975482198,0.5817869711536103,0.5573770002113977,0.45026714046539046,0.4194653295617367,0.4464388169381967,0.41753356804173913,0.487364865258857,0.11224065260152075,0.07427251016000935,0.4164676533861271,0.14240244505297414,0.5934015632885998,0.10856836830488273,0.20642368980227127,0.3615778293052345,0.10160906674210102,0.5492673128374806,0.4141334412669093,0.2010601616458223,0.21738862222417388,0.29877513306320647,0.2262412481915192,0.04959590796902291,0.1873045608449406,0.12529066993019933,0.23707509907459037,0.42406995874751663,0.3781384013011286,0.1261188615047372,0.2968561927929828,0.6344645822456528,0.010650989110916298,0.23419670165459433,0.7424487249921486,0.32152444710323186,0.02788410004592503,0.05385518756588411,0.1611554243469206,0.2737459656285621,0.26989465866117274,2,1,0,4,-124,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,4,6,12
6,0,Cash loans,M,N,Y,0,18077,26507,2615,16575,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.42958194144576034,-9407,-1060,-24,-1776,13.558343604350313,0,1,1,1,1,0,3,3,3,TUESDAY,15,0.6096564303793277,0.1684424528580378,0.573136750075705,0.29618713106225836,0.18865629538874423,0.04700732901281041,0.15965779164797514,0.29032626865479566,0.4339842971853948,0.08888110981731069,0.34532849810914973,0.19683537337876897,0.3085747176685786,0.21996239288457894,0.5097044330496951,0.19485941555881095,0.4958191130429945,0.5450927157546291,0.09187885024799754,0.3837191853403426,0.2609006779423157,0.0662762051004906,0.23346715252111952,0.1705155587534742,0.20578140829102629,0.3335008117539719,0.21619563309840886,0.1421051428695418,0.018704717457369176,0.1752445070028689,0.34019850233546967,0.5200948047485738,0.5088267574424501,0.27574615748268483,0.2379370985079113,0.30128867011912003,0.4989727557950237,0.31317286674738365,0.6130560670961439,0.4254315307430396,0.12367733642987458,0.13712428885928124,0.5303287132315645,0.5164519198661787,0.29649227606557066,0.43548607677422846,3,3,3,0,-1432,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,18
7,0,Cash loans,F,N,Y,1,18327,29640,8301,20882,"Spouse, partner",Working,Secondary / secondary special,Widow,With parents,0.19567205009408875,-11484,-1719,-723,-92,6.384965927837022,1,1,1,1,1,0,1,2,2,TUESDAY,5,0.783612102496611,0.6181468407019013,0.9283642052705946,0.049556722023081735,0.21213735913080925,0.16811180661305386,0.5355991060843318,0.3286558899428512,0.2763372464842778,0.4499936511912314,0.21868258497707505,0.04440817535974039,0.37493797216461533,0.19485470215766856,0.5884039150145046,0.3277910567344307,0.21872214769200488,0.37054269280881313,0.34649929313357924,0.09982243679733292,0.17613532677400906,0.37747225462607886,0.4082299855491596,0.5154079102730571,0.18283525826123762,0.1825459592046762,0.1909985269114536,0.39133266219755236,0.1434706431310169,0.4370033917866897,0.35582743085388013,0.3426234033952428,0.15496956969299053,0.44722179141623464,0.37577426815142756,0.615330493124248,0.2484599100979932,0.18575691966233368,0.5569242470048382,0.11932096573452972,0.3830282713051112,0.5139456342275714,0.10315232629049503,0.47596116239593883,0.6327648637462003,0.3686012508142264,1,1,1,1,-114,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,8,17
8,0,Cash loans,M,N,Y,1,13238,22194,1928,18140,"Spouse, partner",Working,Secondary / secondary special,Unknown,House / apartment,0.20455049611210246,-10714,-632,-1052,-908,14.040501451677908,1,1,1,1,1,0,2,3,3,SUNDAY,17,0.4558737705476213,0.7428994401334691,0.49544098320595276,0.05195855583123903,0.11240422994592272,0.19712287402188275,0.18409512985402965,0.28117539578469963,0.11179490999102878,0.20180773330283047,0.2845794115967532,0.11927696026142133,0.10969688442936547,0.6449333321591,0.08836716768371632,0.39467078571833414,0.31209940673603637,0.13543869838346476,0.3378294599169301,0.198707923581785,0.2709771437574547,0.37030508203005885,0.04412455329388545,0.4852676387996534,0.29556570223115824,0.2911982862462298,0.4600716339051594,0.13184955958154587,0.2981657897811972,0.5168630488526509,0.19383147164826564,0.05725198863511453,0.2127191478734211,0.28118094663862986,0.7265078455742309,0.23961008729574101,0.11821801674326594,0.32567564286934847,0.2645749931458178,0.06737377090296458,0.14823132341028827,0.3599666548622776,0.27798288835316315,0.4073241304081282,0.26860954206147436,0.1496653595648467,3,1,2,0,-488,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8,7,21
9,0,Revolving loans,F,N,N,3,56332,34779,1476,13442,Unaccompanied,Working,Higher education,Married,House / apartment,0.06555595904036764,-15724,-1590,-1712,-967,0.058366906995761234,1,0,0,1,1,1,1,2,2,TUESDAY,12,0.41540433149174266,0.3701115487500801,0.706494727286294,0.1207983408414658,0.51837587287454,0.2075761041766885,0.7534595447135446,0.33521342707277035,0.14426787085582582,0.0450771103002075,0.07805241901403304,0.35923585752802123,0.2622586989873911,0.5683284346135219,0.30051272852759453,0.3428170465254982,0.4223452051293102,0.2919953508055938,0.11349463694233951,0.23705689450345538,0.5165500336826132,0.4560378275002491,0.31847776762142516,0.37708978979154434,0.6494968095669473,0.1430579876129153,0.336572348836283,0.07815128847630201,0.34767123911979025,0.23200492433364742,0.5598100972110291,0.5461838112565172,0.5943108680676037,0.1769636211433025,0.30681867915820527,0.8293438808971348,0.39797776897512077,0.13915467165854437,0.6308825475099266,0.05852392439200286,0.30212039140208585,0.23766319371762343,0.1306812729045955,0.06060262080398938,0.12507416697320753,0.1875326963934791,5,0,1,1,-221,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,8,9,17
