LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_AMT1,BILL_AMT1,PAY_1,PAY_AMT2,BILL_AMT2,PAY_2,PAY_AMT3,BILL_AMT3,PAY_3,PAY_AMT4,BILL_AMT4,PAY_4,PAY_AMT5,BILL_AMT5,PAY_5,PAY_AMT6,BILL_AMT6,PAY_6,default
46926,1,3,2,26,4667,57272,2,9243,66403,1,4415,37993,2,1351,40435,0,1617,84642,1,11013,25231,7,0
301012,2,4,1,25,5349,13528,4,33421,57312,2,2892,30659,0,5084,34078,0,2028,7562,1,8576,45099,1,0
131674,1,2,1,50,4316,52907,0,5223,25252,0,1681,37480,1,33104,56195,1,5809,24588,2,6678,62895,1,0
91294,2,2,2,44,22137,20321,1,1441,67959,1,4986,42067,1,3707,45484,8,4149,30692,-1,9196,45079,0,0
16962,2,3,1,54,5873,40148,2,1364,42500,2,3575,60261,1,1583,59945,1,10138,46577,0,5369,37767,5,0
16959,1,5,3,35,13406,38485,5,297,61216,3,7456,52850,4,6871,51488,-1,1468,33760,-1,16640,58175,0,0
5983,2,3,2,37,627,7646,-1,402,66543,0,490,46571,0,861,25759,0,5370,-3959,1,4972,71540,-1,0
201123,2,2,3,32,316,23743,0,12324,34748,0,1802,86144,1,152,53418,0,14101,54739,2,902,51923,1,0
91908,1,3,1,32,1862,84103,0,507,51426,1,130,25838,3,4647,59218,1,1215,66695,1,1008,8391,3,0
123125,1,5,2,24,734,44767,0,3311,31864,2,6851,12801,2,1180,68003,2,1832,48652,1,2816,24633,1,0
2079,1,4,1,35,3731,36488,0,5988,58602,2,12178,63483,8,2547,29457,1,2616,30871,1,6355,60415,1,1
350355,1,6,3,27,3659,76257,1,9497,41805,0,4426,77336,-1,1314,32737,1,455,44093,0,756,30507,-1,0
178642,2,1,1,39,4278,32075,4,939,59206,-1,4798,27296,4,12508,57607,3,973,15662,1,1083,41758,8,1
23868,1,2,2,36,6836,38171,2,2879,70495,2,237,67556,2,2062,56831,0,2407,61223,-1,401,29748,1,0
20067,1,3,2,37,17759,59816,0,1448,50944,5,3503,29330,-1,2980,29793,-1,386,49950,1,916,57393,0,0
20261,1,4,1,51,10529,31985,4,1477,38130,3,3741,51695,1,1338,26551,3,2252,29330,1,1243,50601,0,0
36275,1,2,1,34,629,25069,2,1810,38463,2,198,52805,3,443,31339,1,1399,41640,2,4088,27329,2,0
74392,1,2,3,42,2066,-5075,0,4422,-19140,8,7625,27378,0,3592,41585,1,9994,60626,4,2458,57170,1,0
56553,2,4,1,55,1477,21270,0,83,25744,1,1630,76934,2,10152,22243,3,4688,63289,3,492,58292,-1,0
34422,1,1,2,48,972,21079,3,2627,58651,1,6426,79231,0,2166,48394,6,11437,38513,3,862,52023,-1,0
